Customer Name,Age,Gender,City,Amount Spent,Discount Used,Email,Phone
Customer_0,56,Male,Delhi,1256.33,7.4,user0@example.com,9815184502
Customer_1,46,Female,Jaipur,1354.73,49.89,user1@example.com,9833448674
Customer_2,32,Female,Delhi,298.12,13.34,user2@example.com,9865223954
Customer_3,25,Female,Bangalore,3582.25,48.83,user3@example.com,9840948143
Customer_4,38,Female,Delhi,643.37,20.55,user4@example.com,9822503247
Customer_5,56,Female,Bangalore,2252.75,1.65,user5@example.com,9864006163
Customer_6,36,Female,Bangalore,1088.42,17.25,user6@example.com,9861910807
Customer_7,40,Female,Bangalore,4489.24,31.72,user7@example.com,9864847136
Customer_8,28,Female,Jaipur,2429.31,34.04,user8@example.com,9883150359
Customer_9,28,Female,Jaipur,2860.05,26.55,user9@example.com,9840831219
Customer_10,41,Female,Jaipur,3508.03,22.39,user10@example.com,9833101383
Customer_11,53,Female,Delhi,782.72,27.64,user11@example.com,9827569187
Customer_12,57,Male,Bangalore,3061.65,29.63,user12@example.com,9864710375
Customer_13,41,Male,Jaipur,2745.22,4.04,user13@example.com,9864456147
Customer_14,20,Female,Jaipur,1095,18.48,user14@example.com,9888110973
Customer_15,39,Female,Delhi,4719.98,12.11,user15@example.com,9849501026
Customer_16,19,Female,Jaipur,3034.44,40.16,user16@example.com,9843163773
Customer_17,41,Female,Delhi,3504.45,23.52,user17@example.com,9821310552
Customer_18,47,Female,Mumbai,4414.29,49.17,user18@example.com,9841146082
Customer_19,55,Female,Jaipur,3159.33,19.94,user19@example.com,9831104792
Customer_20,19,Female,Mumbai,1548.61,40.82,user20@example.com,9831739356
Customer_21,38,Female,Delhi,616.92,39.92,user21@example.com,9821471761
Customer_22,50,Male,Bangalore,2337.02,7.54,user22@example.com,9829576703
Customer_23,29,Female,Jaipur,1170.36,25.41,user23@example.com,9885092305
Customer_24,39,Male,Delhi,2140.9,34.79,user24@example.com,9882429249
Customer_25,42,Female,Bangalore,4428.07,42.92,user25@example.com,9828877237
Customer_26,44,Female,Bangalore,1689.29,16.3,user26@example.com,9856918818
Customer_27,59,Male,Mumbai,698.23,11.01,user27@example.com,9833705256
Customer_28,45,Female,Delhi,1845.86,35.56,user28@example.com,9894504547
Customer_29,33,Male,Bangalore,4543.46,40.48,user29@example.com,9887633091
Customer_30,32,Female,Jaipur,1433.45,17.43,user30@example.com,9889452960
Customer_31,20,Female,Jaipur,3273.68,4.81,user31@example.com,9865403796
Customer_32,54,Male,Mumbai,102.55,47.03,user32@example.com,9833508102
Customer_33,24,Female,Bangalore,1827.59,19.88,user33@example.com,9819405634
Customer_34,38,Male,Delhi,1593.43,25.89,user34@example.com,9815853584
Customer_35,26,Female,Jaipur,906.81,41.89,user35@example.com,9834947744
Customer_36,56,Male,Bangalore,2717.04,33.78,user36@example.com,9858491183
Customer_37,35,Male,Bangalore,2475.67,36.76,user37@example.com,9847856186
Customer_38,21,Female,Mumbai,3492.94,10.45,user38@example.com,9858673237
Customer_39,42,Female,Jaipur,1420.12,27.07,user39@example.com,9875293686
Customer_40,31,Male,Jaipur,1296.22,34.79,user40@example.com,9811983509
Customer_41,26,Female,Delhi,924.63,11.43,user41@example.com,9828298917
Customer_42,43,Female,Jaipur,1171.94,8.75,user42@example.com,9853563237
Customer_43,19,Female,Delhi,2834.7,49.11,user43@example.com,9887729132
Customer_44,37,Male,Jaipur,2078.8,25.83,user44@example.com,9887275698
Customer_45,45,Male,Mumbai,417.97,13.04,user45@example.com,9883214389
Customer_46,24,Male,Jaipur,1344.19,49.81,user46@example.com,9836365210
Customer_47,25,Male,Delhi,1309.69,48.27,user47@example.com,9868245345
Customer_48,52,Male,Delhi,3511.89,27.91,user48@example.com,9837180308
Customer_49,31,Male,Mumbai,3590.13,44.13,user49@example.com,9821326237
